country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,72200000,74300000,76500000,78800000,81100000,83400000,85700000,88000000,90400000,92700000,95100000,97500000,99900000,102000000,105000000,107000000,110000000,112000000,115000000,118000000,121000000,124000000,126000000,129000000,132000000,135000000,138000000,141000000,144000000,146000000,149000000,152000000,154000000,157000000,159000000,162000000,165000000,167000000,170000000,172000000,175000000,177000000,180000000,182000000,184000000,186000000,188000000,190000000,192000000,194000000,196000000,198000000,199000000,201000000,203000000,204000000
Barbados,231000,232000,233000,234000,235000,235000,236000,237000,237000,238000,239000,240000,242000,243000,245000,246000,248000,249000,250000,251000,252000,253000,254000,255000,255000,256000,257000,258000,259000,260000,261000,262000,263000,264000,265000,266000,267000,268000,269000,270000,272000,272000,273000,274000,275000,276000,277000,279000,280000,281000,282000,283000,284000,284000,285000,285000
Brunei,81700,85600,89500,93500,97800,102000,107000,112000,118000,124000,130000,136000,142000,149000,155000,162000,168000,175000,181000,188000,194000,200000,206000,212000,218000,224000,231000,238000,244000,251000,259000,266000,274000,282000,289000,297000,305000,312000,319000,326000,333000,340000,347000,353000,359000,365000,370000,375000,379000,384000,389000,394000,399000,404000,410000,415000
Bhutan,223000,229000,235000,241000,247000,254000,262000,270000,279000,288000,297000,307000,317000,327000,337000,348000,360000,371000,383000,395000,407000,418000,429000,440000,451000,464000,479000,494000,510000,522000,531000,535000,535000,533000,532000,535000,541000,552000,564000,578000,591000,604000,616000,628000,639000,649000,657000,665000,672000,678000,686000,693000,702000,710000,719000,728000
Botswana,503000,513000,524000,536000,548000,560000,572000,584000,597000,611000,628000,646000,667000,690000,715000,741000,770000,801000,832000,865000,898000,930000,963000,996000,1030000,1070000,1110000,1150000,1200000,1240000,1290000,1330000,1360000,1400000,1430000,1470000,1500000,1540000,1580000,1610000,1640000,1670000,1700000,1730000,1770000,1800000,1840000,1880000,1920000,1950000,1990000,2020000,2040000,2060000,2089999,2120000
Central African Republic,1500000,1530000,1550000,1580000,1610000,1640000,1670000,1710000,1740000,1780000,1810000,1840000,1870000,1890000,1920000,1960000,2000000,2040000,2089999,2140000,2200000,2260000,2340000,2410000,2480000,2540000,2600000,2650000,2690000,2750000,2810000,2880000,2960000,3050000,3140000,3220000,3310000,3390000,3480000,3560000,3640000,3720000,3800000,3880000,3960000,4040000,4120000,4200000,4270000,4340000,4390000,4420000,4440000,4450000,4460000,4490000
Canada,17800000,18200000,18600000,18900000,19300000,19600000,20000000,20300000,20700000,21000000,21400000,21700000,22100000,22400000,22700000,23100000,23400000,23600000,23900000,24200000,24400000,24700000,24900000,25200000,25400000,25700000,26100000,26400000,26800000,27200000,27500000,27900000,28200000,28500000,28900000,29200000,29500000,29700000,30000000,30300000,30600000,30900000,31200000,31500000,31800000,32200000,32500000,32900000,33299999,33700000,34100000,34500000,34900000,35300000,35700000,36000000
Switzerland,5280000,5380000,5490000,5600000,5710000,5810000,5900000,5970000,6040000,6100000,6150000,6200000,6250000,6290000,6320000,6340000,6340000,6320000,6300000,6290000,6280000,6300000,6320000,6360000,6400000,6440000,6470000,6510000,6550000,6600000,6650000,6720000,6790000,6870000,6940000,7000000,7040000,7070000,7090000,7120000,7140000,7180000,7220000,7270000,7320000,7390000,7460000,7540000,7620000,7710000,7810000,7910000,8010000,8109999,8210000,8300000
Chile,8130000,8300000,8480000,8650000,8820000,8990000,9150000,9310000,9470000,9630000,9780000,9940000,10100000,10300000,10400000,10600000,10800000,10900000,11100000,11300000,11400000,11600000,11700000,11900000,12100000,12300000,12400000,12600000,12800000,13100000,13300000,13500000,13700000,13900000,14200000,14400000,14600000,14800000,15000000,15200000,15300000,15500000,15700000,15800000,16000000,16200000,16399999,16500000,16700000,16900000,17100000,17200000,17400000,17600000,17800000,18000000
China,660000000,671000000,682000000,694000000,708000000,724000000,742000000,763000000,784000000,806000000,828000000,849000000,869000000,889000000,908000000,926000000,943000000,958000000,972000000,986000000,1B,1.01B,1.03B,1.04B,1.06B,1.08B,1.1B,1.12B,1.14B,1.16B,1.18B,1.19B,1.21B,1.22B,1.23B,1.24B,1.25B,1.26B,1.27B,1.28B,1.29B,1.3B,1.31B,1.32B,1.32B,1.33B,1.34B,1.35B,1.35B,1.36B,1.37B,1.38B,1.38B,1.39B,1.4B,1.41B
