country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Malaysia,8160000,8420000,8690000,8970000,9250000,9530000,9790000,10000000,10300000,10500000,10800000,11100000,11300000,11600000,11900000,12200000,12500000,12800000,13100000,13500000,13800000,14100000,14500000,14800000,15200000,15600000,16000000,16500000,17000000,17500000,18000000,18500000,19000000,19500000,20000000,20500000,21000000,21600000,22100000,22700000,23200000,23700000,24200000,24700000,25200000,25700000,26200000,26700000,27200000,27700000,28200000,28700000,29100000,29500000,29900000,30300000
Namibia,634000,649000,665000,682000,699000,717000,735000,754000,773000,795000,817000,842000,869000,896000,923000,948000,971000,993000,1010000,1040000,1060000,1080000,1110000,1130000,1160000,1200000,1240000,1290000,1340000,1390000,1430000,1480000,1520000,1560000,1590000,1630000,1660000,1700000,1730000,1760000,1790000,1820000,1850000,1880000,1910000,1940000,1970000,2009999,2040000,2080000,2120000,2160000,2190000,2230000,2270000,2310000
Niger,3390000,3490000,3590000,3690000,3800000,3910000,4030000,4139999,4260000,4390000,4510000,4640000,4770000,4900000,5040000,5180000,5340000,5490000,5650000,5820000,5990000,6160000,6340000,6530000,6720000,6920000,7120000,7330000,7550000,7780000,8029999,8289999,8570000,8860000,9170000,9490000,9830000,10200000,10500000,10900000,11300000,11800000,12200000,12600000,13100000,13600000,14100000,14700000,15300000,15800000,16500000,17100000,17800000,18500000,19200000,20000000
Nigeria,45100000,46100000,47000000,48000000,49100000,50100000,51200000,52300000,53500000,54700000,56000000,57300000,58700000,60100000,61700000,63400000,65200000,67200000,69300000,71400000,73400000,75400000,77400000,79400000,81400000,83600000,85800000,88000000,90400000,92800000,95200000,97700000,100000000,103000000,105000000,108000000,111000000,113000000,116000000,119000000,122000000,125000000,129000000,132000000,135000000,139000000,143000000,146000000,150000000,154000000,159000000,163000000,167000000,172000000,176000000,181000000
Nicaragua,1770000,1830000,1890000,1950000,2009999,2069999,2130000,2200000,2260000,2330000,2410000,2480000,2560000,2640000,2720000,2810000,2890000,2990000,3080000,3170000,3270000,3360000,3460000,3550000,3640000,3730000,3820000,3910000,4000000,4080000,4170000,4270000,4360000,4460000,4560000,4650000,4740000,4830000,4910000,4990000,5070000,5150000,5220000,5290000,5360000,5440000,5510000,5590000,5670000,5750000,5820000,5900000,5980000,6060000,6140000,6220000
Netherlands,11400000,11600000,11800000,11900000,12100000,12200000,12400000,12600000,12700000,12900000,13000000,13100000,13300000,13400000,13600000,13700000,13800000,13900000,14000000,14100000,14100000,14200000,14300000,14400000,14400000,14500000,14600000,14700000,14800000,14900000,15000000,15100000,15200000,15300000,15400000,15500000,15600000,15700000,15700000,15800000,15900000,16000000,16100000,16200000,16300000,16399999,16399999,16500000,16600000,16600000,16700000,16700000,16800000,16800000,16900000,16900000
Norway,3580000,3610000,3640000,3670000,3700000,3720000,3750000,3780000,3820000,3850000,3880000,3910000,3930000,3960000,3990000,4010000,4030000,4040000,4059999,4070000,4090000,4099999,4110000,4120000,4139999,4150000,4170000,4190000,4210000,4230000,4250000,4270000,4290000,4320000,4340000,4370000,4390000,4420000,4450000,4470000,4500000,4520000,4550000,4570000,4600000,4630000,4670000,4720000,4770000,4830000,4890000,4950000,5010000,5080000,5140000,5200000
Nepal,10100000,10300000,10400000,10600000,10800000,11000000,11200000,11400000,11600000,11800000,12100000,12300000,12600000,12900000,13100000,13400000,13700000,14000000,14300000,14700000,15000000,15400000,15700000,16100000,16500000,16900000,17200000,17600000,18000000,18400000,18900000,19400000,19900000,20500000,21000000,21600000,22100000,22600000,23100000,23500000,23900000,24300000,24700000,25100000,25400000,25700000,26100000,26400000,26700000,26900000,27000000,27000000,27000000,26900000,26900000,27000000
Nauru,4380,4630,4940,5270,5590,5860,6070,6220,6340,6450,6550,6670,6800,6930,7060,7180,7280,7400,7510,7630,7750,7870,8020,8160,8330,8500,8680,8870,9060,9280,9510,9770,10000,10300,10500,10600,10700,10600,10600,10400,10300,10200,10100,9990,9910,9850,9830,9850,9880,9950,10000,10100,10100,10200,10300,10400
New Zealand,2370000,2420000,2480000,2530000,2580000,2630000,2670000,2700000,2740000,2770000,2820000,2870000,2930000,2990000,3040000,3080000,3110000,3120000,3130000,3140000,3150000,3160000,3190000,3220000,3240000,3270000,3290000,3310000,3330000,3360000,3400000,3450000,3500000,3560000,3620000,3670000,3720000,3750000,3780000,3820000,3860000,3910000,3960000,4019999,4080000,4139999,4190000,4230000,4280000,4320000,4370000,4420000,4470000,4520000,4570000,4610000
Oman,552000,565000,579000,593000,609000,625000,642000,660000,680000,701000,724000,749000,776000,807000,842000,882000,927000,978000,1030000,1090000,1150000,1220000,1290000,1360000,1430000,1500000,1560000,1620000,1680000,1740000,1810000,1890000,1980000,2069999,2150000,2200000,2240000,2250000,2250000,2250000,2270000,2290000,2330000,2390000,2450000,2510000,2580000,2660000,2750000,2880000,3040000,3250000,3500000,3760000,4030000,4270000
Pakistan,45000000,46100000,47200000,48400000,49600000,50900000,52300000,53700000,55100000,56600000,58100000,59700000,61400000,63100000,64900000,66800000,68800000,71000000,73200000,75600000,78100000,80700000,83400000,86300000,89200000,92200000,95200000,98300000,101000000,105000000,108000000,111000000,114000000,117000000,120000000,124000000,127000000,131000000,135000000,139000000,142000000,146000000,150000000,153000000,157000000,160000000,164000000,168000000,172000000,176000000,179000000,183000000,187000000,191000000,195000000,199000000
Panama,1130000,1170000,1200000,1240000,1280000,1310000,1350000,1390000,1430000,1480000,1520000,1560000,1610000,1650000,1700000,1750000,1790000,1840000,1880000,1930000,1980000,2029999,2069999,2120000,2170000,2220000,2270000,2320000,2370000,2420000,2470000,2520000,2580000,2630000,2680000,2740000,2800000,2850000,2910000,2970000,3030000,3090000,3150000,3210000,3270000,3330000,3390000,3450000,3520000,3580000,3640000,3710000,3770000,3840000,3900000,3970000
Peru,10200000,10400000,10700000,11100000,11400000,11700000,12000000,12400000,12700000,13100000,13500000,13800000,14200000,14600000,15000000,15400000,15800000,16300000,16700000,17100000,17500000,18000000,18400000,18900000,19300000,19800000,20200000,20700000,21200000,21600000,22100000,22500000,23000000,23400000,23900000,24300000,24800000,25200000,25700000,26100000,26500000,26800000,27100000,27400000,27600000,27900000,28100000,28300000,28600000,28800000,29000000,29300000,29500000,29800000,30100000,30500000
Philippines,26300000,27200000,28100000,29000000,30000000,30900000,31900000,32799999,33800000,34800000,35800000,36800000,37900000,39000000,40100000,41300000,42400000,43600000,44800000,46100000,47400000,48700000,50000000,51400000,52800000,54300000,55800000,57300000,58800000,60300000,61900000,63500000,65000000,66599999,68200000,69800000,71400000,73000000,74700000,76300000,78000000,79700000,81400000,83100000,84700000,86300000,87900000,89400000,90900000,92400000,94000000,95600000,97200000,98900000,101000000,102000000
Palau,9770,10000,10300,10600,10800,11000,11200,11300,11500,11600,11800,12100,12300,12600,12800,12900,12800,12600,12400,12200,12200,12300,12500,12800,13200,13500,13800,14100,14400,14700,15100,15400,15900,16300,16700,17200,17600,18000,18400,18800,19100,19400,19600,19800,19900,19800,19500,19200,18700,18300,18000,17700,17600,17600,17600,17700
Papua New Guinea,2260000,2300000,2340000,2390000,2430000,2490000,2540000,2600000,2660000,2720000,2780000,2850000,2920000,2990000,3060000,3140000,3220000,3300000,3390000,3480000,3570000,3670000,3770000,3870000,3980000,4080000,4190000,4290000,4400000,4510000,4620000,4730000,4840000,4950000,5070000,5190000,5310000,5450000,5580000,5720000,5850000,5970000,6100000,6220000,6350000,6490000,6650000,6810000,6980000,7140000,7310000,7470000,7630000,7790000,7950000,8109999
Poland,29600000,30000000,30400000,30700000,31100000,31400000,31600000,31900000,32100000,32400000,32600000,32900000,33100000,33400000,33700000,34000000,34300000,34600000,34900000,35200000,35500000,35900000,36200000,36600000,36900000,37100000,37400000,37500000,37700000,37800000,38000000,38100000,38200000,38300000,38400000,38500000,38500000,38500000,38600000,38600000,38600000,38500000,38500000,38400000,38400000,38400000,38400000,38400000,38400000,38400000,38300000,38300000,38200000,38200000,38100000,38000000
North Korea,11400000,11700000,11900000,12100000,12300000,12500000,12900000,13200000,13600000,14000000,14400000,14800000,15200000,15600000,16000000,16300000,16600000,16800000,17000000,17200000,17500000,17700000,18000000,18300000,18600000,18900000,19200000,19400000,19700000,20000000,20300000,20600000,20900000,21300000,21600000,21900000,22100000,22300000,22500000,22700000,22900000,23100000,23300000,23500000,23700000,23900000,24100000,24200000,24300000,24400000,24500000,24700000,24800000,24900000,25100000,25200000
Portugal,8840000,8870000,8890000,8900000,8890000,8860000,8810000,8750000,8690000,8650000,8650000,8700000,8790000,8910000,9040000,9170000,9300000,9430000,9550000,9660000,9750000,9820000,9870000,9900000,9920000,9930000,9930000,9910000,9900000,9890000,9900000,9920000,9950000,10000000,10000000,10100000,10100000,10200000,10200000,10300000,10300000,10300000,10400000,10400000,10500000,10500000,10500000,10600000,10600000,10600000,10600000,10600000,10500000,10500000,10400000,10400000
Paraguay,1900000,1950000,2009999,2060000,2120000,2170000,2230000,2290000,2350000,2410000,2470000,2540000,2600000,2660000,2720000,2790000,2860000,2940000,3010000,3100000,3180000,3270000,3370000,3470000,3570000,3680000,3780000,3890000,4000000,4110000,4220000,4330000,4450000,4560000,4670000,4780000,4890000,5000000,5110000,5220000,5320000,5430000,5530000,5630000,5730000,5820000,5910000,6000000,6080000,6160000,6250000,6330000,6420000,6510000,6600000,6690000
Palestine,1070000,1100000,1130000,1160000,1180000,1190000,1180000,1170000,1140000,1130000,1130000,1150000,1180000,1230000,1280000,1320000,1360000,1400000,1430000,1470000,1510000,1550000,1600000,1650000,1700000,1760000,1820000,1880000,1950000,2020000,2100000,2190000,2290000,2390000,2500000,2620000,2740000,2870000,3000000,3120000,3220000,3310000,3380000,3440000,3510000,3580000,3660000,3760000,3860000,3960000,4059999,4150000,4240000,4330000,4430000,4530000
Qatar,47400,51400,56300,61700,67600,73600,79800,86300,93200,101000,110000,119000,131000,142000,154000,164000,174000,182000,192000,205000,224000,248000,277000,309000,341000,371000,398000,422000,444000,462000,476000,487000,495000,501000,507000,513000,523000,535000,552000,570000,592000,615000,641000,682000,753000,865000,1020000,1220000,1440000,1650000,1860000,2040000,2200000,2340000,2460000,2570000
Romania,18600000,18800000,18900000,19100000,19200000,19400000,19600000,19800000,20100000,20300000,20500000,20800000,21000000,21200000,21500000,21700000,21900000,22100000,22300000,22500000,22600000,22700000,22800000,22900000,23000000,23100000,23200000,23300000,23400000,23500000,23500000,23500000,23400000,23300000,23100000,23000000,22800000,22600000,22500000,22300000,22100000,22000000,21900000,21700000,21600000,21400000,21200000,21000000,20800000,20600000,20500000,20300000,20200000,20100000,20000000,19900000
Russia,120000000,121000000,123000000,124000000,125000000,127000000,127000000,128000000,129000000,129000000,130000000,131000000,132000000,132000000,133000000,134000000,135000000,135000000,136000000,137000000,138000000,139000000,140000000,141000000,142000000,143000000,144000000,145000000,146000000,147000000,148000000,148000000,148000000,148000000,148000000,148000000,148000000,148000000,147000000,147000000,146000000,146000000,145000000,145000000,144000000,144000000,143000000,143000000,143000000,143000000,143000000,144000000,144000000,144000000,145000000,145000000
Rwanda,2940000,3000000,3050000,3110000,3160000,3240000,3320000,3420000,3530000,3640000,3760000,3870000,3990000,4110000,4230000,4360000,4510000,4660000,4810000,4980000,5150000,5330000,5500000,5690000,5900000,6150000,6440000,6780000,7090000,7280000,7290000,7080000,6700000,6260000,5940000,5840000,6010000,6420000,6960000,7500000,7930000,8230000,8430000,8560000,8680000,8840000,9040000,9270000,9520000,9780000,10000000,10300000,10500000,10800000,11100000,11400000
Saudi Arabia,4090000,4220000,4360000,4520000,4680000,4840000,5020000,5200000,5390000,5600000,5840000,6100000,6390000,6710000,7050000,7420000,7800000,8210000,8650000,9140000,9690000,10300000,11000000,11700000,12400000,13100000,13800000,14400000,15100000,15700000,16200000,16800000,17300000,17800000,18200000,18600000,19000000,19400000,19800000,20200000,20700000,21200000,21800000,22500000,23100000,23800000,24500000,25200000,25900000,26600000,27400000,28300000,29200000,30100000,30900000,31700000
Sudan,7540000,7770000,8000000,8250000,8500000,8770000,9050000,9340000,9640000,9950000,10300000,10600000,11000000,11300000,11700000,12100000,12600000,13000000,13500000,14000000,14500000,15000000,15600000,16100000,16700000,17200000,17800000,18300000,18900000,19500000,20100000,20900000,21700000,22500000,23300000,24100000,24800000,25400000,26000000,26600000,27300000,28000000,28700000,29500000,30200000,30900000,31700000,32400000,33100000,33800000,34500000,35300000,36200000,37100000,38000000,38900000
Senegal,3210000,3300000,3390000,3480000,3580000,3680000,3790000,3900000,4010000,4130000,4260000,4390000,4520000,4660000,4800000,4930000,5060000,5180000,5310000,5440000,5580000,5740000,5910000,6090000,6280000,6470000,6670000,6880000,7090000,7300000,7530000,7760000,7990000,8230000,8460000,8690000,8910000,9130000,9350000,9570000,9800000,10000000,10300000,10500000,10800000,11100000,11400000,11700000,12000000,12300000,12700000,13000000,13400000,13800000,14200000,14600000
Singapore,1630000,1690000,1740000,1790000,1830000,1880000,1920000,1960000,2000000,2029999,2069999,2110000,2150000,2190000,2230000,2260000,2290000,2310000,2340000,2370000,2410000,2460000,2520000,2580000,2640000,2710000,2760000,2820000,2870000,2940000,3010000,3100000,3200000,3310000,3420000,3530000,3640000,3750000,3860000,3950000,4030000,4080000,4099999,4130000,4179999,4270000,4400000,4580000,4780000,4970000,5130000,5260000,5370000,5450000,5530000,5590000
Solomon Islands,118000,121000,125000,129000,133000,137000,141000,145000,150000,155000,160000,166000,173000,179000,186000,193000,201000,208000,215000,223000,231000,238000,246000,255000,263000,271000,279000,287000,295000,303000,312000,321000,330000,340000,349000,359000,370000,380000,391000,402000,413000,424000,435000,447000,459000,470000,481000,492000,503000,515000,528000,542000,556000,571000,587000,603000
Sierra Leone,2320000,2350000,2390000,2430000,2470000,2510000,2550000,2600000,2640000,2690000,2740000,2800000,2850000,2910000,2970000,3040000,3100000,3170000,3240000,3310000,3390000,3460000,3540000,3620000,3710000,3810000,3920000,4040000,4160000,4250000,4320000,4350000,4350000,4330000,4310000,4300000,4310000,4340000,4380000,4460000,4580000,4750000,4970000,5200000,5430000,5650000,5830000,5990000,6130000,6270000,6420000,6560000,6710000,6860000,7020000,7170000
El Salvador,2770000,2850000,2930000,3020000,3110000,3200000,3290000,3390000,3480000,3580000,3670000,3770000,3870000,3960000,4059999,4150000,4250000,4340000,4430000,4510000,4590000,4670000,4740000,4800000,4870000,4940000,5000000,5070000,5130000,5200000,5270000,5340000,5420000,5490000,5560000,5630000,5690000,5750000,5800000,5840000,5890000,5930000,5960000,5990000,6020000,6050000,6080000,6110000,6130000,6160000,6180000,6210000,6240000,6270000,6300000,6330000
San Marino,15400,15800,16300,16700,17100,17500,17900,18300,18700,19000,19200,19400,19500,19600,19700,19800,20100,20400,20800,21100,21500,21800,22000,22300,22500,22800,23000,23300,23500,23800,24100,24500,24800,25200,25600,25900,26300,26600,26900,27100,27500,27800,28200,28600,28900,29300,29700,30100,30400,30800,31200,31700,32100,32600,32900,33300
Somalia,2760000,2810000,2870000,2940000,3000000,3070000,3140000,3230000,3310000,3390000,3440000,3470000,3480000,3510000,3630000,3880000,4280000,4800000,5380000,5890000,6280000,6510000,6610000,6620000,6610000,6650000,6740000,6860000,7010000,7130000,7230000,7270000,7300000,7320000,7370000,7490000,7680000,7940000,8240000,8550000,8870000,9190000,9500000,9820000,10100000,10400000,10800000,11100000,11400000,11700000,12000000,12400000,12700000,13100000,13400000,13800000
Serbia,7560000,7610000,7670000,7730000,7780000,7840000,7890000,7940000,8000000,8060000,8119999,8189999,8260000,8340000,8420000,8500000,8580000,8660000,8750000,8830000,8910000,8980000,9060000,9130000,9190000,9250000,9310000,9350000,9400000,9450000,9520000,9600000,9700000,9800000,9860000,9880000,9860000,9780000,9690000,9580000,9490000,9410000,9350000,9290000,9240000,9190000,9150000,9100000,9060000,9020000,8990000,8960000,8940000,8920000,8900000,8880000
South Sudan,2840000,2900000,2950000,3010000,3070000,3130000,3200000,3270000,3340000,3420000,3490000,3580000,3660000,3750000,3840000,3940000,4040000,4139999,4250000,4370000,4500000,4650000,4800000,4950000,5100000,5220000,5330000,5420000,5490000,5510000,5490000,5420000,5310000,5190000,5110000,5120000,5220000,5410000,5660000,5930000,6200000,6450000,6690000,6940000,7210000,7540000,7910000,8320000,8740000,9140000,9510000,9830000,10100000,10400000,10600000,10700000
Sao Tome and Principe,64300,64599,64500,64200,64300,64900,66200,68000,70300,72500,74600,76300,77900,79500,81100,83100,85500,88100,90800,93500,95800,97800,99500,101000,103000,105000,107000,110000,113000,116000,119000,122000,125000,127000,129000,132000,134000,136000,138000,140000,142000,145000,147000,150000,154000,157000,162000,166000,171000,176000,180000,185000,188000,192000,196000,199000
Suriname,288000,296000,304000,312000,320000,329000,338000,348000,357000,364000,368000,369000,368000,365000,362000,359000,358000,358000,358000,359000,360000,360000,361000,362000,365000,369000,374000,381000,389000,397000,405000,413000,421000,428000,435000,442000,448000,454000,460000,465000,471000,477000,482000,488000,494000,499000,505000,511000,517000,523000,529000,535000,541000,547000,553000,559000
Slovak Republic,4139999,4200000,4250000,4300000,4340000,4380000,4420000,4450000,4480000,4510000,4540000,4580000,4620000,4660000,4710000,4750000,4800000,4850000,4900000,4950000,5000000,5040000,5070000,5110000,5140000,5170000,5190000,5220000,5240000,5270000,5290000,5310000,5330000,5350000,5360000,5380000,5380000,5390000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5400000,5410000,5410000,5420000,5430000,5440000
Slovenia,1590000,1600000,1610000,1610000,1620000,1630000,1640000,1640000,1650000,1660000,1670000,1680000,1690000,1710000,1730000,1740000,1760000,1780000,1800000,1820000,1840000,1860000,1880000,1900000,1930000,1950000,1960000,1980000,1990000,2000000,2009999,2009999,2009999,2000000,2000000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,1990000,2000000,2009999,2020000,2029999,2040000,2049999,2060000,2060000,2069999,2069999
Sweden,7480000,7530000,7580000,7630000,7690000,7750000,7810000,7880000,7940000,8000000,8050000,8100000,8130000,8150000,8170000,8199999,8220000,8250000,8279999,8300000,8320000,8330000,8330000,8330000,8340000,8359999,8380000,8420000,8460000,8510000,8570000,8630000,8690000,8750000,8800000,8840000,8860000,8870000,8870000,8870000,8880000,8900000,8920000,8950000,8990000,9040000,9100000,9160000,9240000,9310000,9390000,9470000,9540000,9620000,9690000,9760000
Eswatini,337000,343000,350000,357000,365000,374000,384000,395000,407000,419000,431000,444000,457000,471000,485000,500000,516000,532000,550000,568000,588000,608000,630000,652000,675000,699000,724000,749000,774000,798000,822000,845000,867000,888000,908000,927000,946000,963000,980000,994000,1010000,1010000,1020000,1020000,1030000,1030000,1040000,1040000,1050000,1060000,1060000,1070000,1080000,1090000,1100000,1100000
Seychelles,41600,42500,43500,44500,45700,46800,47900,48900,50000,51100,52400,53700,55100,56600,58100,59600,61000,62500,63900,65099,66200,67200,68100,68800,69400,69800,69900,69900,69900,70100,70600,71400,72700,74100,75400,76700,77600,78400,79100,79900,81000,82400,84100,85800,87400,88700,89500,90100,90500,90800,91300,91900,92600,93400,94200,95000
Syria,4570000,4720000,4880000,5030000,5200000,5370000,5550000,5740000,5940000,6140000,6350000,6570000,6800000,7040000,7280000,7540000,7790000,8060000,8340000,8630000,8930000,9250000,9590000,9940000,10300000,10600000,11000000,11400000,11700000,12100000,12400000,12800000,13200000,13600000,14000000,14300000,14800000,15200000,15600000,16000000,16399999,16800000,17100000,17400000,17800000,18400000,19100000,19900000,20700000,21200000,21400000,21100000,20400000,19600000,18700000,18000000
Chad,3000000,3060000,3120000,3180000,3250000,3310000,3370000,3430000,3500000,3570000,3640000,3730000,3820000,3910000,4000000,4090000,4170000,4260000,4340000,4420000,4510000,4610000,4720000,4830000,4960000,5100000,5250000,5410000,5590000,5770000,5960000,6160000,6360000,6560000,6780000,7010000,7250000,7500000,7770000,8050000,8359999,8680000,9020000,9370000,9730000,10100000,10500000,10800000,11200000,11600000,12000000,12400000,12800000,13200000,13700000,14100000
Togo,1580000,1600000,1610000,1630000,1660000,1710000,1770000,1860000,1950000,2029999,2120000,2190000,2250000,2300000,2360000,2410000,2460000,2520000,2580000,2640000,2720000,2810000,2920000,3030000,3140000,3250000,3360000,3470000,3580000,3680000,3770000,3860000,3950000,4030000,4120000,4230000,4350000,4490000,4630000,4780000,4920000,5060000,5200000,5330000,5470000,5610000,5760000,5920000,6080000,6250000,6420000,6600000,6770000,6950000,7140000,7320000
Thailand,27400000,28200000,29100000,30000000,30900000,31800000,32799999,33800000,34800000,35800000,36900000,38000000,39100000,40200000,41300000,42300000,43400000,44400000,45400000,46400000,47400000,48300000,49300000,50200000,51100000,52000000,53000000,53900000,54900000,55800000,56600000,57200000,57800000,58300000,58900000,59500000,60100000,60800000,61600000,62300000,63000000,63500000,64099999,64500000,65000000,65400000,65800000,66200000,66500000,66900000,67200000,67500000,67800000,68100000,68400000,68700000
Tajikistan,2089999,2160000,2240000,2320000,2400000,2490000,2570000,2660000,2750000,2840000,2930000,3020000,3110000,3200000,3300000,3390000,3490000,3590000,3690000,3790000,3910000,4019999,4139999,4270000,4400000,4540000,4690000,4840000,5000000,5150000,5280000,5400000,5500000,5590000,5680000,5760000,5850000,5940000,6030000,6120000,6220000,6320000,6430000,6540000,6660000,6790000,6920000,7060000,7210000,7360000,7530000,7700000,7870000,8060000,8250000,8450000
Turkmenistan,1600000,1660000,1720000,1770000,1830000,1890000,1950000,2009999,2069999,2130000,2200000,2260000,2320000,2390000,2460000,2530000,2590000,2660000,2730000,2810000,2880000,2950000,3020000,3090000,3170000,3240000,3320000,3410000,3490000,3590000,3680000,3790000,3900000,4010000,4120000,4210000,4290000,4360000,4410000,4470000,4520000,4560000,4610000,4660000,4700000,4750000,4810000,4870000,4940000,5010000,5090000,5170000,5270000,5370000,5470000,5570000
Timor-Leste,475000,483000,492000,501000,510000,520000,529000,539000,549000,560000,572000,585000,600000,614000,625000,629000,627000,620000,610000,602000,600000,604000,613000,627000,642000,657000,672000,686000,702000,719000,738000,760000,783000,807000,828000,844000,855000,862000,867000,873000,884000,901000,923000,947000,972000,995000,1020000,1040000,1060000,1070000,1090000,1110000,1130000,1150000,1170000,1200000
Tonga,61600,63700,66200,69000,71700,74300,76800,79000,81100,82900,84300,85500,86300,87000,87600,88300,89200,90300,91300,92300,93000,93400,93600,93700,93800,93900,94100,94300,94600,94800,95100,95200,95400,95600,95700,96000,96300,96600,97000,97500,98000,98500,99000,99600,100000,101000,102000,103000,103000,104000,104000,104000,103000,102000,101000,101000
Trinidad and Tobago,848000,865000,879000,892000,903000,912000,919000,925000,931000,937000,945000,956000,968000,982000,996000,1010000,1030000,1040000,1050000,1070000,1080000,1100000,1120000,1140000,1160000,1170000,1180000,1190000,1200000,1210000,1220000,1230000,1240000,1240000,1250000,1250000,1260000,1260000,1260000,1260000,1270000,1270000,1280000,1280000,1290000,1300000,1300000,1310000,1310000,1320000,1330000,1340000,1340000,1350000,1360000,1370000
Tunisia,4179999,4240000,4310000,4380000,4460000,4550000,4640000,4740000,4850000,4950000,5060000,5180000,5290000,5410000,5530000,5660000,5790000,5920000,6060000,6210000,6370000,6550000,6740000,6940000,7140000,7330000,7520000,7700000,7880000,8060000,8240000,8430000,8610000,8800000,8970000,9130000,9270000,9400000,9510000,9610000,9710000,9790000,9870000,9950000,10000000,10100000,10200000,10300000,10400000,10500000,10600000,10700000,10800000,11000000,11100000,11200000
Turkey,27500000,28100000,28800000,29500000,30200000,31000000,31700000,32500000,33299999,34100000,34900000,35700000,36600000,37500000,38400000,39300000,40200000,41100000,42000000,43000000,44000000,45000000,46000000,47100000,48100000,49100000,50100000,51100000,52100000,53000000,53900000,54800000,55700000,56700000,57600000,58500000,59400000,60400000,61300000,62300000,63200000,64200000,65099999,66099999,67000000,67900000,68800000,69600000,70400000,71300000,72300000,73400000,74700000,75900000,77200000,78500000
Tuvalu,5320,5330,5340,5340,5350,5390,5440,5510,5600,5670,5740,5770,5790,5820,5900,6060,6320,6650,7020,7360,7630,7830,7950,8040,8110,8210,8340,8480,8640,8790,8910,9010,9110,9190,9260,9300,9320,9330,9330,9340,9390,9480,9590,9720,9870,10000,10100,10200,10300,10400,10500,10600,10700,10800,11000,11100
Taiwan,10900000,11300000,11700000,12100000,12500000,12900000,13300000,13700000,14200000,14600000,14900000,15300000,15600000,15900000,16200000,16500000,16800000,17000000,17300000,17600000,17900000,18200000,18500000,18800000,19000000,19300000,19600000,19800000,20000000,20300000,20500000,20700000,20900000,21000000,21200000,21400000,21500000,21600000,21700000,21800000,22000000,22100000,22300000,22400000,22600000,22700000,22800000,22900000,23000000,23100000,23200000,23300000,23300000,23400000,23500000,23600000
Tanzania,10100000,10300000,10700000,11000000,11300000,11600000,12000000,12300000,12700000,13100000,13500000,14000000,14400000,14900000,15400000,15900000,16399999,16900000,17400000,18000000,18500000,19100000,19700000,20300000,21000000,21600000,22300000,23000000,23700000,24400000,25200000,26100000,27000000,27900000,28800000,29600000,30400000,31200000,31900000,32700000,33500000,34400000,35300000,36300000,37400000,38500000,39500000,40700000,41900000,43100000,44300000,45700000,47100000,48500000,50000000,51500000
Uganda,6770000,6980000,7220000,7460000,7720000,7990000,8260000,8550000,8840000,9130000,9410000,9670000,9930000,10200000,10500000,10700000,11000000,11400000,11700000,12100000,12400000,12800000,13200000,13600000,14100000,14600000,15100000,15600000,16200000,16800000,17400000,18000000,18600000,19200000,19800000,20400000,21000000,21700000,22300000,23000000,23700000,24400000,25200000,26000000,26800000,27700000,28600000,29500000,30400000,31400000,32400000,33500000,34600000,35700000,36900000,38200000
Ukraine,42700000,43200000,43800000,44300000,44800000,45300000,45700000,46100000,46400000,46700000,47100000,47400000,47800000,48100000,48500000,48800000,49000000,49300000,49500000,49700000,50000000,50200000,50400000,50600000,50700000,50900000,51100000,51200000,51300000,51400000,51500000,51500000,51400000,51300000,51100000,50900000,50600000,50200000,49700000,49300000,48800000,48400000,48000000,47600000,47200000,46900000,46600000,46400000,46200000,46000000,45800000,45600000,45500000,45300000,45100000,44900000
Uruguay,2540000,2570000,2600000,2640000,2670000,2690000,2720000,2750000,2770000,2800000,2810000,2820000,2820000,2820000,2820000,2830000,2840000,2860000,2880000,2900000,2920000,2930000,2950000,2970000,2990000,3010000,3030000,3050000,3070000,3090000,3110000,3130000,3150000,3180000,3200000,3220000,3250000,3270000,3290000,3310000,3320000,3330000,3330000,3320000,3320000,3320000,3330000,3330000,3340000,3350000,3360000,3370000,3380000,3390000,3400000,3410000
United States,187000000,190000000,192000000,195000000,197000000,200000000,202000000,204000000,206000000,208000000,210000000,211000000,213000000,215000000,217000000,219000000,221000000,223000000,225000000,227000000,229000000,232000000,234000000,236000000,238000000,240000000,243000000,245000000,247000000,250000000,252000000,255000000,257000000,260000000,262000000,265000000,268000000,272000000,275000000,279000000,282000000,285000000,287000000,290000000,292000000,295000000,298000000,301000000,303000000,306000000,309000000,312000000,314000000,316000000,319000000,321000000
Uzbekistan,8530000,8810000,9110000,9430000,9760000,10100000,10500000,10900000,11300000,11700000,12100000,12400000,12800000,13100000,13500000,13900000,14200000,14600000,15100000,15500000,15900000,16300000,16700000,17200000,17600000,18100000,18500000,19000000,19400000,19900000,20400000,20900000,21400000,21900000,22300000,22800000,23200000,23600000,24000000,24400000,24800000,25100000,25400000,25700000,26100000,26400000,26800000,27200000,27600000,28100000,28500000,29000000,29400000,29900000,30400000,30900000
