country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bhutan,105.1331474,105.1236001,105.1209659,105.125541,105.1211775,105.1202725,105.1099899,105.1036016,105.0946127,105.1292773,105.1255787,105.1259467,105.1268912,105.1227604,105.1222373,105.1107857,105.1041705,105.1011827,105.0911094,105.0846344,105.0871252,105.0983992,105.0869377,105.0877946,105.0725017,105.0730158,105.0623215,105.0676145,105.0719303,105.0679871,105.0727595,105.063924,105.079485,105.0680651,105.0637148,105.0671839,105.0632635,105.0841952,105.091938,105.0768931,105.0790623,105.0956833,105.0917337,105.0839135,105.089915,105.0984538,105.0954406,105.0941562,105.0953731,105.0830491,105.0889385,105.0802842,105.0826163,105.0989925,105.0831099,105.0896856,105.0801464,105.0875284,105.0887429,105.0905083,105.1009196,105.1000014,105.115707,105.1161327,105.0943742,105.0947016
Bolivia,104.312061,104.312066,104.3146714,104.324128,104.3305171,104.3382716,104.3384588,104.3379255,104.3372409,104.3348036,104.3412169,104.3467202,104.357924,104.3705286,104.3655733,104.3986668,104.4147162,104.4228296,104.4320589,104.4498878,104.4771515,104.4825579,104.5029692,104.5236194,104.5508483,104.5620108,104.5808339,104.5844529,104.5546942,104.5139409,104.4874612,104.4153299,104.3365156,104.2655788,104.2051852,104.147518,104.1014328,104.0975962,104.039556,104.0014984,104.0845745,104.1616627,104.2403399,104.2550895,104.1943909,104.1588151,104.0812026,104.0399141,104.0754739,104.082854,104.1114365,104.1439353,104.1102674,104.0967837,104.1149004,104.1542341,104.1919758,104.2013848,104.2111065,104.2237415,104.2125036,104.2116206,104.2170044,104.2137051,104.2244833,104.2371864
Bosnia and Herzegovina,106.4256024,106.429252,106.4169657,106.4166925,106.4195771,106.404615,106.4145143,106.4148172,106.4153727,106.4226237,106.4302768,106.4319311,106.4338303,106.4367642,106.4376384,106.446748,106.4484508,106.4577126,106.4462404,106.4395841,106.4311726,106.4253709,106.4277386,106.4225007,106.4063031,106.4046381,106.4024172,106.4004199,106.4027981,106.3941599,106.3942975,106.3696857,106.3766968,106.3701211,106.3767185,106.3705867,106.3629819,106.3599311,106.3465807,106.3367167,106.3326486,106.2675342,106.4139811,106.5707583,106.7195498,106.8891562,107.045351,107.2204669,107.0155145,106.5808089,106.5441701,106.5199,106.5732064,106.7239435,106.6692549,106.6289012,106.7040963,106.8129643,106.8354274,106.9658591,106.8796816,106.8567748,106.8216841,106.8339486,106.8221163,106.7798899
Botswana,103.0867138,103.0981102,103.1069492,103.1147078,103.1092061,103.1200252,103.1110895,103.1040645,103.1172211,103.1180965,103.1313585,103.133361,103.1170739,103.1219421,103.1223688,103.1208519,103.1182629,103.1097697,103.1181929,103.0943469,103.0924152,103.1062244,103.1174494,103.1183679,103.113887,103.1091045,103.1266665,103.1121968,103.109566,103.1137238,103.1160577,103.1100807,103.1180137,103.1288879,103.1248981,103.1166531,103.1111746,103.0923261,103.0930996,103.1096447,103.1117158,103.1149077,103.1199182,103.1209748,103.1181141,103.1237331,103.1193243,103.1207819,103.1364394,103.1243706,103.1316069,103.1215561,103.1338376,103.1304276,103.1134151,103.134471,103.1405651,103.1476856,103.1281242,103.1316888,103.1393643,103.1326067,103.1280722,103.1305751,103.1274086,103.1203157
Brazil,104.4402875,104.4492212,104.4495631,104.4550275,104.4557733,104.4580405,104.4558676,104.4598583,104.484298,104.4746221,104.4890962,104.4983788,104.5040345,104.502802,104.5133123,104.5220373,104.5347854,104.5518498,104.5823181,104.5564904,104.5355029,104.5223458,104.4947852,104.4682246,104.4687917,104.4600387,104.4643783,104.4226898,104.4139466,104.3737315,104.4235478,104.4679227,104.5353863,104.590453,104.6349345,104.6208102,104.6316553,104.6285612,104.6495981,104.6557689,104.6606644,104.6483044,104.6303661,104.6266778,104.5818995,104.5402424,104.5275425,104.5190266,104.5083169,104.5020988,104.4751278,104.4792527,104.4912677,104.4855738,104.4658577,104.4657666,104.4564148,104.4560553,104.4346825,104.4321754,104.4368542,104.4224835,104.4161111,104.4173771,104.4206452,104.4242025
Brunei,106.5924593,106.6294125,106.559859,106.5622396,106.5491087,106.5254756,106.4635467,106.3482075,106.2039344,106.2030228,106.2873349,106.3819027,106.4028154,106.4709018,106.5534883,106.5293156,106.4781225,106.4123367,106.4171902,106.45805,106.5140757,106.5443873,106.6408981,106.6514793,106.6620997,106.6290971,106.6442729,106.6596702,106.682647,106.7671905,106.8104477,106.7789675,106.6668702,106.6647867,106.6467892,106.7027769,106.8360879,106.9682247,107.0174142,106.9498019,106.9292131,106.9377025,106.8794991,106.9116837,106.9429513,106.9749921,107.0235794,107.0416909,106.9972547,106.9416521,106.8148486,106.7121648,106.6075526,106.5583566,106.5725638,106.6681721,106.7396679,106.8415114,106.9408791,107.0156295,107.0243697,107.0668029,107.1626066,107.2154507,107.2631798,107.2803534
Bulgaria,106.6637528,106.4593516,106.5162407,106.5972094,106.421541,106.0615312,106.0069127,105.7531563,105.8529999,106.0195965,106.201411,106.2823309,106.043337,106.108651,106.1664231,106.2122012,106.2306514,106.1084679,105.9689437,106.0644229,106.4066532,106.3023078,106.2115489,105.9005604,105.8832361,105.901182,106.0112105,105.9480655,105.9838552,106.2511243,106.2550019,106.210947,106.0210103,105.7496353,105.7372078,105.4033706,105.2243606,105.3464893,105.6251503,105.6343132,105.7815401,106.0013803,105.9977367,105.8455782,105.5665642,105.665531,106.0319665,106.2657268,106.091892,105.9296709,105.9548026,106.1690366,106.3728281,106.2342944,106.1591487,106.0088549,106.0107005,105.943929,105.7982816,105.5829015,105.7727143,105.9192995,105.939342,105.7916126,105.9253367,106.1015239
Burkina Faso,103.947854,103.9478108,103.9423405,103.9409669,103.9530159,103.9575778,103.9528784,103.9585458,103.9726485,103.9754129,103.9901207,103.9793412,103.982131,103.9852209,103.9878751,103.988965,103.9936048,104.0009736,103.9956521,104.00909,104.0154522,104.0259053,104.0426835,104.0594269,104.0624286,104.0575639,104.0699974,104.0879657,104.0944905,104.0977387,104.1125136,104.1132392,104.1266545,104.1450812,104.1834041,104.2109469,104.2222615,104.2855478,104.276667,104.3077821,104.3004313,104.2318006,104.1865615,104.1384556,104.0862538,104.0846632,104.1482854,104.1684267,104.2420121,104.3260291,104.3822676,104.3826561,104.3405723,104.2784565,104.2548508,104.2275284,104.172852,104.1725006,104.1988503,104.1643203,104.1423704,104.1283779,104.1253165,104.1114004,104.0999881,104.0818669
Burundi,102.4798365,102.465454,102.4650587,102.4533529,102.4545183,102.4558103,102.4698141,102.458655,102.4684604,102.4819995,102.4665861,102.4536181,102.4505278,102.4580137,102.4629227,102.4563177,102.4584582,102.4575897,102.4692228,102.4637755,102.4700763,102.4597095,102.4625925,102.4669571,102.4447431,102.4416652,102.4434416,102.448738,102.4482338,102.4512624,102.4443093,102.4403059,102.4384388,102.4459324,102.4442943,102.4590964,102.4812509,102.4499636,102.4286886,102.4088568,102.3876043,102.3725699,102.3384932,102.3132971,102.289159,102.2780231,102.2594274,102.2266693,102.2448686,102.2498466,102.2554879,102.260652,102.2034143,102.1434936,102.069046,102.0691781,102.0686314,102.1042328,102.1030069,102.1533627,102.1605384,102.1575748,102.1836173,102.1885327,102.2199249,102.2529335
Cambodia,105.3817627,105.3912755,105.4005423,105.406669,105.41461,105.4094319,105.4188251,105.4121282,105.4183711,105.413507,105.4179537,105.4224554,105.4285235,105.4276424,105.4219738,105.4294759,105.4304018,105.431667,105.4344693,105.4284557,105.4371079,105.450066,105.4436004,105.4341165,105.4366993,105.4403584,105.4439485,105.4392202,105.4328407,105.4358004,105.4265087,105.4007402,105.3496864,105.304045,105.1957314,105.0884069,105.0241447,104.9546623,104.9200284,104.8738581,104.8444787,104.8022738,104.7609614,104.7236046,104.7512409,104.7664416,104.8015932,104.8185609,104.8638164,104.890804,104.914099,104.9024803,104.8904891,104.9034592,104.9720574,104.9837947,104.9932852,105.0067749,105.0311253,105.0373826,105.0452241,105.0485265,105.0610624,105.0765565,105.1060384,105.1319611
Cameroon,102.6631281,102.6649904,102.660158,102.6531409,102.6570046,102.6487685,102.6414018,102.6427697,102.6167757,102.6064388,102.5999433,102.5953323,102.6423543,102.6843136,102.7073361,102.7470633,102.7929052,102.8232485,102.854622,102.8620212,102.8735834,102.8631199,102.8318851,102.79495,102.780843,102.7497683,102.7351167,102.6825247,102.6376564,102.6253234,102.5952938,102.5644492,102.5219355,102.494788,102.4697514,102.4390997,102.4026558,102.4022072,102.3608918,102.3338548,102.3238742,102.3495085,102.4487095,102.5503502,102.5835393,102.6342195,102.6333259,102.6471062,102.6148814,102.632566,102.6380095,102.6557537,102.610614,102.6209389,102.5617457,102.521956,102.4485798,102.3730462,102.3331248,102.3575107,102.3987844,102.4229531,102.4716324,102.5315783,102.5378297,102.5642336
Canada,105.9054655,105.9251998,106.1084904,105.6798175,105.6767712,105.6063083,105.7187486,105.7237331,105.728307,105.6197684,105.7037079,105.6023062,105.3908887,105.3799128,105.5523803,105.580577,105.4115546,105.2858262,105.7048271,105.7165948,105.9643695,106.1364257,106.0770949,106.0212794,105.8190625,105.6641674,105.6246996,105.7060063,105.474134,105.7289087,105.6030798,105.5027749,105.4648397,105.7094696,105.6487465,105.6231398,105.2278899,105.0607986,105.0632024,105.1497455,105.3975057,105.4301868,105.4205079,105.7079988,105.7516971,105.4593675,105.5599428,105.425632,105.1860858,105.3426554,105.4377183,105.3688288,105.3989119,105.259288,105.415817,105.3193676,105.4363364,105.1701812,105.2479425,105.3349694,105.3271498,105.3757032,105.6562371,105.5394483,105.5499166,105.5719424
Cape Verde,103.2182552,103.2162574,103.2118216,103.211719,103.2088334,103.1968384,103.1877741,103.1877559,103.1818117,103.1706491,103.1585039,103.1485865,103.1445496,103.1257522,103.0920784,103.0719638,103.0397323,103.0224284,102.9865898,102.9492464,102.9212805,103.012773,103.1544591,103.2405981,103.3301113,103.4190383,103.5171121,103.6085301,103.717612,103.7987336,103.8775609,103.9362768,103.8752088,103.7818026,103.5781559,103.4512674,103.3632642,103.268395,103.2095096,103.2096083,103.2165291,103.2235067,103.2192507,103.2054011,103.199795,103.241665,103.2630379,103.2803141,103.295988,103.3118802,103.3363285,103.3411897,103.3335427,103.3240968,103.3200557,103.3181998,103.3128851,103.3242998,103.3072542,103.2970104,103.2995702,103.3017902,103.290339,103.282901,103.2779039,103.2748267
