country,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Italy,,,26.5,26.7,25.6,29,25.9,27.1,25.9,25.4,26.9,23.8,25.2,25.3,23.9,22.6,22.5,22.9,22.2,22.9,,,
Jamaica,,,,,,,,20.6,18.1,19.4,,20.7,27.8,23.9,25,26.9,,30.8,24.2,28.8,27.6,27.2,29.7
Jordan,,,,17,,,17.9,19.7,18.5,20.3,17.6,17.8,16.6,,,18.6,,,,,,17.1,15.6
Japan,,,,,,,,,,,,,,,,,,24.7,24,,24.1,,
Kazakhstan,,22,,,,,,,,,,,,,,,,18.7,19.5,19.2,21.2,,
Kenya,,,,,14.7,16.1,,20.8,22.8,,21.7,,,,,,,,,,,,
Cambodia,,,10.8,,,6.05,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,12.4,17.6,,
South Korea,,,13.8,14.4,,,,,,,,,,,,,,,,,28.2,,
Kuwait,,0,,,,,,19,16.1,15.5,13.1,,14,,,21.8,,,17.3,,,,
Lao,,18.2,,,,,9.21,,,,,,,7.56,7.35,7.98,7.79,14.5,12.5,,,,
Lebanon,,,,,,,,,,,,,,,,,4.53,6.4,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,17.7,,,
St. Lucia,,,,20.7,,,,,16.1,,,,,15.8,18.7,19.2,19.5,21.1,23,26,24.9,,22.7
Liechtenstein,,,,,,,,11,10.9,,10.6,10.1,11.8,,12.4,13.3,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,7.34,7.38,5.99,6.29,,,14.1,11.5,7.67
Lesotho,,125,,74.6,76.6,60.9,,,,49.3,42.5,,48.4,,,,,,,,,,30
Lithuania,,,,,,,,19.6,20.7,19.3,19.5,19,21.3,25.7,21.5,19.3,18.5,18.3,18.3,17.4,17.9,,
Luxembourg,,,,,,,,23.4,22.4,22.6,20.2,18.5,22.3,,19.9,17.7,21.6,19.9,20.5,19.4,,,
Latvia,,35.1,23,23,22.9,24,24.6,22.9,22.5,,17.4,21.7,26.2,30.3,27.8,25.8,35,36.9,27.4,28.3,26.4,,
"Macao, China",,,,,10.1,,,,,,,,,,,,,,,,,,
Morocco,,,43.5,43.5,,41.3,42.7,40.7,38.2,55.2,34.3,37.4,32.9,30.7,34.3,33.8,36.4,,,,,,
Monaco,,7.14,6.99,6.93,6.71,,,,6.2,,,,,6.17,5.9,9.63,12.4,8.47,5.08,,4.95,,
Moldova,,,,,,,,,,,,38.4,31.6,39.4,32.8,31.9,31.6,,32.4,32.9,30.5,31,31.1
Madagascar,,,,,,,,,,21.5,15.4,12.5,13.6,11.6,,10.3,8.41,,,,,,
Mexico,,,14.1,11.5,,15.6,13.4,15,14,14.7,13.8,13.6,13.4,15.4,15.2,15.3,15.3,15.5,15.4,15.2,14.4,,
