country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,1180,1130,1060,938,804,705,635,605,583,567,558,549,540,530,518
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,27,25,20,18,18,16,17,14,14,11,13,12,10,11,10
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,988,985,972,929,865,795,731,681,638,597,558,527,498,472,446
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,49,48,48,47,46,44,43,42,40,39,38,38,37,36,35
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,150,163,141,137,133,128,123,118,114,110,106,103,99,96,95
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,370,361,356,354,348,340,336,332,324,314,304,292,277,267,261
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,11,11,11,11,11,11,10,10,9,8,8,8,8
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,33,42,37,38,39,33,36,39,43,32,32,30,30,29,27
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,445,415,398,384,371,359,349,342,339,339,339,336,331,325,320
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,1070,1090,1080,1020,920,831,772,754,750,747,748,744,731,767,699
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,905,876,843,802,756,716,690,675,668,661,656,650,644,637,625
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1180,1150,1110,1050,979,912,860,827,800,779,762,744,726,711,694
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,421,392,370,357,344,331,322,314,310,308,308,305,300,295,296
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,36,34,34,38,33,31,31,30,30,29,28,28,27,26,25
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,147,145,137,137,142,137,132,125,131,129,122,118,113,107,103
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,216,227,226,220,223,221,208,192,185,179,180,185,175,174,172
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,83,80,78,77,77,77,77,76,75,74,72,70,69,68,67
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,10,10,10,10,9,9,9,9,9,9,8,9,8,8
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,437,441,446,513,459,467,473,484,484,506,496,500,496,492,488
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,16,15,15,15,14,15,14,13,13,13,12,12,12,12
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,269,265,261,264,252,249,243,239,234,228,221,214,207,199,192
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,354,336,319,303,286,270,255,240,225,210,197,185,175,166,158
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,6,7,6,6,7,7,6,7,6,6,6,6
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,44,41,39,36,34,32,30,28,25,22,19,18,17,17,17
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,76,74,136,122,127,158,138,90,75,70,67,66,75,92,83
